Profile_Picture,Total_Votes,Name,Party,Constituency,Date_Time
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/Indra-2023-20231026033618.jpg,93295,Indra Kumar Sahu,Bharatiya Janata Party,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/Dhane-2023-20231026110645.jpg,77742,Dhanendra Sahu,Indian National Congress,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Makha-2023-20231030033317.jpg,2379,Makhan Lal Tamrakar,Janta Congress Chhattisgarh (J),Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SmtM-2023-20231030015942.jpg,1045,Mamta Sahu,Bahujan Samaj Party,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Hemch-2023-20231030010827.jpg,876,Hemchand Gilhre,Independent,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/YashK-2023-20231030030626.jpg,487,Yash Kumar Sahu,Johar Chhattisgarh Party,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Kamle-2023-20231027023757.jpg,427,Kamlesh Sahu,Bhartiya Shakti Chetna Party,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Shaku-2023-20231027032829.jpg,382,Shakuntala Mandle,Independent,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Bhune-2023-20231030082209.jpg,218,Bhuneshwar,Independent,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Breej-2023-20231030024245.jpg,161,Breejmohan,Independent,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Parme-2023-20231030065554.jpg,142,Parmeshwar Markande,Chhattisgarh Mahatari Party,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/Bhodh-2023-20231025092748.jpg,108,Bhodhan Lal Farikar,Shakti Sena (Bharat Desh),Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/Pramo-2023-20231030042220.jpg,78,Pramod Kumar Gaikwad,Independent,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,2087,NOTA,None of the Above,Abhanpur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/DOMAN-2023-20231023071647.jpg,96717,DOMANLAL KORSEWADA,Bharatiya Janata Party,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/NIRMA-2023-20231026011024.jpg,71454,NIRMAL KOSRE,Indian National Congress,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/ARUNG-2023-20231030121202.jpg,1816,ARUN GANDHARVA,Johar Chhattisgarh Party,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/INDER-2023-20231027063253.jpg,1609,INDER LAL LAHARE,Bahujan Samaj Party,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RITID-2023-20231030074112.jpg,1252,RITI DESHLAHRA,Janta Congress Chhattisgarh (J),Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RAMPR-2023-20231027053941.jpg,921,RAMPRASAD DHRITLAHRE,Independent,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SANTO-2023-20231027062103.jpg,830,SANTOSH KUMAR JOSHI,Independent,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/ASHIS-2023-20231027061002.jpg,360,ASHISH MANDLE,Independent,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SANTO-2023-20231030071416.jpg,221,SANTOSH KUMAR JANGADE,India Praja Bandhu Party,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/ADVOC-2023-20231023065323.jpg,190,ADVOCATE SHAILENDRA BANJARE (SHAKTIPUTRA),Shakti Sena (Bharat Desh),Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,1599,NOTA,None of the Above,Ahiwara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RAGHA-2023-20231030124455.jpg,80043,RAGHAVENDRA KUMAR SINGH,Indian National Congress,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SAURA-2023-20231026123927.jpg,57285,SAURABH SINGH,Bharatiya Janata Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RICHA-2023-20231030043550.jpg,16464,RICHA AJIT JOGI,Janta Congress Chhattisgarh (J),Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/VINOD-2023-20231023040156.jpg,5774,DR. VINOD SHARMA,Bahujan Samaj Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/ANAND-2023-20231025043935.jpg,4826,ANAND PRAKASH MIRI,Aam Aadmi Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/VARSH-2023-20231030031945.jpg,1334,VARSHA NETAM,Independent,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/MAHET-2023-20231030021924.jpg,608,MAHETTAR GOAD,Independent,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SHAIL-2023-20231030083609.jpg,547,SHAIL KUMAR KURREY,Independent,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/JEEVA-2023-20231103122759.jpg,475,JEEVAN LAL YADAW,Samajwadi Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RAJES-2023-20231030014937.jpg,465,RAJESH SINGH DHURVE,Independent,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/DASHR-2023-20231030011030.jpg,339,DASHRATH LAL PATEL,Akhand Loktantrik Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/BHOLA-2023-20231030034953.jpg,286,BHOLA SHANKAR GOND,Hamar Raj Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/BHAGW-2023-20231030070716.jpg,273,BHAGWAT KEVAT,Independent,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/SUNIL-2023-20231030053555.jpg,268,SUNIL KUMAR KIRAN,Janata Congress,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/ROHIT-2023-20231030085248.jpg,234,ROHIT KUMAR PATEL,Bhartiya Shakti Chetna Party,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,897,NOTA,None of the Above,Akaltara,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/RAJES-2023-20231102054258.jpg,90780,RAJESH AGRAWAL,Bharatiya Janata Party,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/TSB-2023-20231102053915.jpg,90686,T. S. BABA,Indian National Congress,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/BALSA-2023-20231102054712.jpg,6083,BALSAI KORRAM,Gondvana Gantantra Party,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/RAKES-2023-20231030034026.jpg,1318,RAKESH KUMAR SAHU,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/ABDUL-2023-20231102055500.jpg,1193,ABDUL MAJID,Janta Congress Chhattisgarh (J),Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s26/MUKES-2023-20231030095753.jpg,867,MUKESH GOSWAMI,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/RAMNA-2023-20231102054439.jpg,719,RAMNANDAN PAIKRA,Hamar Raj Party,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/MEERA-2023-20231102053620.jpg,563,MEERA RAVI,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/ASTER-2023-20231102055342.jpg,352,ASTER XALXO,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/KRANT-2023-20231102054053.jpg,335,KRANTI KUMAR,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/ANILS-2023-20231102053329.jpg,311,ANIL SHRIVASTAVA ROTI PARTY,Independent,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/SUJAN-2023-20231102055103.jpg,288,SUJAN BIND,Rashtriya mahan Gantantra Party,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/SANTO-2023-20231102061230.jpg,251,SANTOSH VISHVAKARMA,Bhartiya Shakti Chetna Party,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,2168,NOTA,None of the Above,Ambikapur,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/VIKRA-2023-20231024114442.jpg,59547,VIKRAM USENDI,Bharatiya Janata Party,Antagarh,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/SHRIR-2023-20231018073340.jpg,35837,ROOPSINGH POTAI 'MODDU',Indian National Congress,Antagarh,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/MANTU-2023-20231024113622.jpg,15063,MANTU RAM PAWAR,Independent,Antagarh,14-02-2024 17:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S26/ANOOP-2023-20231020074727.jpg,9415,ANOOP NAG,Independent,Antagarh,14-02-2024 17:07
