Profile_Picture,Total_Votes,Name,Party,Constituency,Date_Time
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/MADHA-2023-20231023050838.jpg,102176,MADHAV SINGH (MADHU GEHLOT),Bharatiya Janata Party,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/VIPIN-2023-20231023045032.jpg,89174,VIPIN WANKHEDE,Indian National Congress,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/DrGA-2023-20231030021552.jpg,1694,Dr.GANGARAM JOGCHAND,Bahujan Samaj Party,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/KELAS-2023-20231030023726.jpg,1242,KAILASH MALVIYA,Samajwadi Party,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/MOHAN-2023-20231027022536.jpg,1123,MOHAN BODANA,Independent,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/SURES-2023-20231030012828.jpg,778,SURESH MALVIYA,Independent,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/PREMN-2023-20231030024541.jpg,348,PREMNARAYAN MALVIYA,Independent,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/AMITP-2023-20231027020930.jpg,276,AMIT PATHROD,Independent,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/DrJA-2023-20231025025502.jpg,271,Dr. JAGDISH PEERULAL MALVIYA,Independent,Agar,16-02-2024 20:37
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,1491,NOTA,None of the Above,Agar,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/CHOUH-2023-20231027032447.jpg,83764,CHOUHAN NAGAR SINGH,Bharatiya Janata Party,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/MUKES-2023-20231023042311.jpg,80041,MUKESH PATEL,Indian National Congress,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/SUREN-2023-20231030042237.jpg,11361,SURENDRA THAKRALA,Independent,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/PATEL-2023-20231027042801.jpg,3705,PATEL ANTAR SINGH,Bahujan Samaj Party,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/NAWAL-2023-20231027033807.jpg,2706,Nawal Singh Mandloi,Independent,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/HIRLA-2023-20231030043043.jpg,2275,HIRLA CHOUHAN,Independent,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,3814,NOTA,None of the Above,Alirajpur,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/DRCH-2023-20231026024234.jpg,106762,DR. CHINTAMANI MALVIYA,Bharatiya Janata Party,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/PREMC-2023-20231027045017.jpg,37878,PREMCHANDRA GUDDU,Independent,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/MANOJ-2023-20231023052629.jpg,33565,MANOJ CHAWLA,Indian National Congress,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/GOVAR-2023-20231030060459.jpg,3417,GOVARDHAN PARMAR,Aazad Samaj Party (Kanshi Ram),Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/LAXMA-2023-20231030052505.jpg,975,LAXMAN CHANDRAVANSHI,Independent,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/PRAHA-2023-20231030050929.jpg,467,PRAHALAD VERMA,Independent,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/PUSHP-2023-20231030044451.jpg,365,PUSHPENDRA SURYWANSHI HATPIPLIYA,Peoples Party of India (Democratic),Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/NAGUL-2023-20231030042132.jpg,350,NAGULAL,Independent,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s12/KISHO-2023-20231030061714.jpg,195,KISHOR MALVIYA,Independent,Alot,16-02-2024 20:37
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,1899,NOTA,None of the Above,Alot,16-02-2024 20:37
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/RAJEN-2023-20231026042219.jpg,80949,Dr. RAJENDRA KUMAR SINGH,Indian National Congress,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/Ramkh-2023-20231026115720.jpg,74459,RAMKHELAWAN PATEL,Bharatiya Janata Party,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/CHHAN-2023-20231030052640.jpg,21317,CHHANGELAL KOL,Bahujan Samaj Party,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/NEELA-2023-20231030110239.jpg,1321,NEELAM-PUSHPENDRA PANDEY,Independent,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/Ramsu-2023-20231030054420.jpg,1065,Ramsufal Kewat,Independent,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/ErVi-2023-20231030061723.jpg,998,Er. Virendra Kumar Patel,Independent,Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/AKHIL-2023-20231027022548.jpg,994,AKHILESH KUMAR PRAJAPATI,Peoples Party of India (Democratic),Amarpatan,16-02-2024 20:38
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S12/SURAJ-2023-20231030060808.jpg,525,SURAJ IS GOD,Independent,Amarpatan,16-02-2024 20:38
