Profile_Picture,Total_Votes,Name,Party,Constituency,Date_Time
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/LALTH-2023-20231019040603.jpg,10727,LALTHANSANGA,Zoram People’s Movement,Aizawl East-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/ZORAM-2023-20231020013908.jpg,8626,ZORAMTHANGA,Mizo National Front,Aizawl East-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/LALSA-2023-20231018045444.jpg,2520,LALSANGLURA RALTE,Indian National Congress,Aizawl East-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/LALRU-2023-20231018053136.jpg,441,LALRUATFELI HLAWNDO,Independent,Aizawl East-I,14-02-2024 16:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,90,NOTA,None of the Above,Aizawl East-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/BLAL-2023-20231019042700.jpg,7289,B. LALCHHANZOVA,Zoram People’s Movement,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/BLAL-2023-20231019044321.jpg,4533,B. LALAWMPUII,Mizo National Front,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/PCLA-2023-20231019043709.jpg,2923,P.C LALHMINGTHANGA,Indian National Congress,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/LALHM-2023-20231020044026.jpg,216,LALHMACHHUANI,Independent,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/ROTHU-2023-20231019042045.jpg,42,ROTHUAMA,Independent,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,54,NOTA,None of the Above,Aizawl East-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/Vanla-2023-20231020103455.jpg,10772,Vanlalhlana,Zoram People’s Movement,Aizawl North-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/RLal-2023-20231020104526.jpg,5287,R.Lalzirliana,Mizo National Front,Aizawl North-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/Lalnu-2023-20231020104028.jpg,4423,Lalnunmawia Chuaungo,Indian National Congress,Aizawl North-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/Lalru-2023-20231020105122.jpg,477,Lalruatfeli Hlawndo,Independent,Aizawl North-I,14-02-2024 16:07
https://results.eci.gov.in/AcResultGenDecNew2023/img/nota.jpg,52,NOTA,None of the Above,Aizawl North-I,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/DRVA-2023-20231019064113.jpg,11040,Dr. VANLALTHLANA,Zoram People’s Movement,Aizawl North-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/VANLA-2023-20231019063533.jpg,4533,VANLALSAWMA,Mizo National Front,Aizawl North-II,14-02-2024 16:07
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s16/RLAL-2023-20231019062410.jpg,4028,R. LALRINMAWIA,Indian National Congress,Aizawl North-II,14-02-2024 16:07
