Profile_Picture,Total_Votes,Name,Party,Constituency,Date_Time
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/RAFEE-2023-20231104021203.jpg,103421,RAFEEK KHAN,Indian National Congress,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/RAVIK-2023-20231106010107.jpg,89348,RAVI KUMAR NAYYAR,Bharatiya Janata Party,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/UMARA-2023-20231103021801.jpg,1122,UMARADARAJ,Aam Aadmi Party,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/Saura-2023-20231106123106.jpg,797,SAURABH CHHAJER,Independent,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/SANJA-2023-20231104023347.jpg,633,SANJAY KUMAR BALMIKY,Aazad Samaj Party (Kanshi Ram),Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/LOVEI-2023-20231106014332.jpg,460,LOVE INDERJEET ARORA,Independent,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/CHHAG-2023-20231106050010.jpg,287,CHAGAN LAL,Parivartan Party of India,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/JAPHA-2023-20231106053559.jpg,210,JAPHAR AKHTAR,All India Majlis-E-Ittehadul Muslimeen,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S20/RUMAN-2023-20231109072419.jpg,131,RUMANA QURESHI,Independent,Adarsh Nagar,14-02-2024 17:32
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s20/RAKES-2023-20231106054445.jpg,120,RAKESH KUMAR MEENA,Independent,Adarsh Nagar,14-02-2024 17:32
