Profile_Picture,Total_Votes,Name,Party,Constituency,Date_Time
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S29/CHIKK-2023-20231115043329.jpg,115337,CHIKKUDU VAMSHI KRISHNA,Indian National Congress,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/GUVVA-2023-20231108063357.jpg,66011,GUVVALA BALARAJU,Bharat Rashtra Samithi,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/DEVAN-2023-20231108061854.jpg,4267,DEVANI SATHYANARAYANA ALIAS DEVANI SATISH MADIGA,Bharatiya Janata Party,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/2023/ac/E22/S29/82/1699286405WhatsApp%20Image%202023-11-02%20at%2005.32.39.jpeg,2684,RaviKumar Bejavada,Independent,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/MOTHU-2023-20231108065759.jpg,1189,MOTHUKURI NAGARJUN,Bahujan Samaj Party,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S29/BALRA-2023-20231115043628.jpg,852,BALRAJU GUDDATI,Alliance of Democratic Reforms Party,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/RAVIA-2023-20231109064800.jpg,745,RAVI ARRAGADDA,Independent,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/CHARA-2023-20231109071115.jpg,530,CHARAGONDA KRISHNAMMA,Independent,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S29/CHINT-2023-20231115043414.jpg,350,CHINTHA SAIBABU,Dharma Samaj Party,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S29/KUNDA-2023-20231115043537.jpg,239,KUNDA MALLIKARJUN,Yuga Thulasi Party,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/S29/PRAVE-2023-20231115043712.jpg,209,PRAVEEN KUMAR NARUMOLLA,Independent,Achampet,14-02-2024 17:39
https://results.eci.gov.in/uploads1/candprofile/E22/2023/AC/s29/NSAT-2023-20231110060849.jpg,194,N. SATHYAM,Aabaad Party,Achampet,14-02-2024 17:39
